rank,donor_j,donor_label_index,donor_label,donor_original_stl10_test_index,relmeaserr_uij_vs_yi,relmeaserr_xi_vs_yi,relmeaserr_xj_vs_yi,psnr_uij_vs_xi_clipped,uij_min,uij_max,clip_penalty_mean,range_penalty,quality_match_score,image
99,1582,4,deer,4642,2.166915948226988e-15,0.005359381186274673,0.6612956323947181,10.970511928958945,0.04158172843279226,0.8476439136251808,0.0,0.0,0.7133959132881529,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank099_u_i1789_j1582_deer_clipped.png
100,236,4,deer,5873,2.118079287086203e-15,0.005359381186274673,0.7060383602590671,10.441377537907426,-0.007430387952576986,1.0060297233739792,4.072601457084096e-06,0.01346011132655621,0.7227740591008172,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank100_u_i1789_j236_deer_clipped.png
101,1207,3,cat,1204,2.479205489294538e-15,0.005359381186274673,0.7896968238890946,10.271391405245824,-0.018091774812202532,0.9915389819277836,1.0437287171173467e-05,0.018091774812202532,0.7231558197060124,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank101_u_i1789_j1207_cat_clipped.png
102,1146,4,deer,6123,2.2745049769213043e-15,0.005359381186274673,0.6746013481172368,11.02559324374361,0.05449037883600985,0.9165427127397734,0.0,0.0,0.7274881098556073,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank102_u_i1789_j1146_deer_clipped.png
103,1175,5,dog,3392,2.5654284885021324e-15,0.005359381186274673,0.8234061565052649,9.63672553022118,-0.033505577442052153,0.9322228790951641,1.959814469237618e-05,0.033505577442052153,0.7281433758982346,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank103_u_i1789_j1175_dog_clipped.png
104,1812,5,dog,2,3.0457008728965198e-15,0.005359381186274673,0.9869339793730612,7.986811209864904,0.03153342376582369,1.0480225463481745,1.1724254479534787e-05,0.04802254634817449,0.7322815894716512,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank104_u_i1789_j1812_dog_clipped.png
105,778,4,deer,5163,2.4411324177793465e-15,0.005359381186274673,0.8522305965882228,9.257307488040382,-0.04384106508539698,0.9884733377846054,1.0703385030614497e-05,0.04384106508539698,0.7419823606400422,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank105_u_i1789_j778_deer_clipped.png
106,452,0,airplane,1260,2.4120739057496465e-15,0.005359381186274673,0.7536717590245244,10.229410190785039,-0.021403140471607573,0.9418451684675947,1.0722007672023647e-05,0.021403140471607573,0.7547741405164121,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank106_u_i1789_j452_airplane_clipped.png
107,1374,3,cat,5502,1.956313267228238e-15,0.005359381186274673,0.6276987948181213,11.138776483438104,0.044321003653422786,0.7164235035572728,0.0,0.0,0.7638696722999768,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank107_u_i1789_j1374_cat_clipped.png
108,764,1,bird,5172,2.1393944194943936e-15,0.005359381186274673,0.7391810804096999,10.08730071831712,-0.025984359490574482,0.9063399032191481,1.1809673918897e-05,0.025984359490574482,0.7715377042641051,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank108_u_i1789_j764_bird_clipped.png
109,967,7,monkey,1879,2.5119999349741086e-15,0.005359381186274673,0.7956481143166498,9.974074059628569,-0.0292104733152512,0.9872161092355406,7.449166221223854e-06,0.0292104733152512,0.7723776414130155,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank109_u_i1789_j967_monkey_clipped.png
110,870,3,cat,2222,1.8468167034305148e-15,0.005359381186274673,0.6190699465873286,11.200098491421663,0.01167597487050609,0.7482513947996717,0.0,0.0,0.7819027193584528,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank110_u_i1789_j870_cat_clipped.png
111,1792,0,airplane,1028,2.6158608107063564e-15,0.005359381186274673,0.8603838044297711,8.659400815044894,0.0036955478821401044,1.0609194384827367,4.999764403775393e-05,0.06091943848273673,0.7834089632660843,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank111_u_i1789_j1792_airplane_clipped.png
112,150,1,bird,4988,2.348096441995057e-15,0.005359381186274673,0.7230254836327847,10.120879006791142,-0.026441072355139594,0.9614265645915769,6.4553399304540025e-06,0.026441072355139594,0.7873932190106909,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank112_u_i1789_j150_bird_clipped.png
113,1161,5,dog,7130,2.4393218711656812e-15,0.005359381186274673,0.8469450879098591,9.102446938287864,-0.05120312742265412,0.9680707092809671,1.2500763530921416e-05,0.05120312742265412,0.787710391044296,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank113_u_i1789_j1161_dog_clipped.png
114,320,0,airplane,2479,2.5453229800550356e-15,0.005359381186274673,0.8111963613417168,9.189549835501252,-0.0488862699022003,0.9984566204609072,1.193512448784187e-05,0.0488862699022003,0.7878039079902434,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank114_u_i1789_j320_airplane_clipped.png
115,768,5,dog,2030,2.1840592681836178e-15,0.005359381186274673,0.7626714444740361,9.555020972995138,-0.029699068966683256,1.01039961049747,1.2694947301688078e-05,0.040098679464153214,0.7896284116563961,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank115_u_i1789_j768_dog_clipped.png
116,32,3,cat,2069,2.076544030117395e-15,0.005359381186274673,0.7349848426893367,9.6109221758873,-0.03863025249054894,0.9334026791596166,3.037006066185858e-05,0.03863025249054894,0.7925492985646404,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank116_u_i1789_j32_cat_clipped.png
117,1213,1,bird,1412,2.4690797963411664e-15,0.005359381186274673,0.7522591422274029,10.272868554422667,-0.023611652713901754,0.828827885082839,1.0964065292473555e-05,0.023611652713901754,0.7936149378366443,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank117_u_i1789_j1213_bird_clipped.png
118,567,5,dog,1552,1.786087554078787e-15,0.005359381186274673,0.6235477942806473,11.211698145657941,-0.0017426627746638668,0.9099339453491437,4.254547789706706e-07,0.0017426627746638668,0.8056658456447215,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank118_u_i1789_j567_dog_clipped.png
119,1308,5,dog,7343,2.21523987556871e-15,0.005359381186274673,0.6677405712754686,10.073949309118861,-0.028588570403359048,0.9831976009425026,1.011803857893997e-05,0.028588570403359048,0.8059908953146355,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank119_u_i1789_j1308_dog_clipped.png
120,1276,4,deer,1223,2.2778051169530953e-15,0.005359381186274673,0.7047511697271579,10.599347726718936,-0.017717174802936886,0.9120544167734024,6.447706597607242e-06,0.017717174802936886,0.8185042053546616,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank120_u_i1789_j1276_deer_clipped.png
